nombre,direccion,ciudad,precio,dormitorios,baños,metros,precio_m2
Se Arrienda Depto En Edif. Vigias Del Mar.,"Avenida Dos Oriente 4833, Iquique, Iquique, Tarapacá",iquique,550000,3,2,75,7333
Edificio Urbano Oriente,"Arturo Fernández, Iquique, Iquique, Tarapacá",iquique,680000,2,2,70,9714
Se Arrienda Depto En Cond. Altos De Huayquique.,"Av. La Tirana 4865, Iquique, Huayquique, Iquique, Tarapacá",iquique,580000,2,2,58,10000
Condominio Oceánica,"Padre Hurtado 2363, Iquique, Cerro Dragón, Iquique, Tarapacá",iquique,1150000,3,2,89,12921
Arriendo Departamento En Sector Sur Excelente Ubicación,"Av. Francisco Bilbao 3421, Iquique, Huayquique, Iquique, Tarapacá",iquique,700000,3,2,80,8750
Se Arrienda Depto Amoblado En Edif. Matiz.,"Av. Arturo Prat Chacón 353, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique,480000,1,1,50,9600
Arriendo Depto. Amoblado A Pocos Pasos De Playa Cavancha,"Arturo Fernández 1800 - 2100, Iquique, Cavancha, Iquique, Tarapacá",iquique,580000,1,1,40,14500
Se Arrienda Depto En Edif Plaza Campanario.,"Pedro Gamboni 2147, Iquique, Playa Brava, Iquique, Tarapacá",iquique,550000,1,1,48,11458
Se Arrienda Depto En Cond. Mares Del Sur.,"Av. Arturo Prat Chacón 3524, Iquique, Huayquique, Iquique, Tarapacá",iquique,950000,3,2,120,7917
Edificio Life,"Obispo Labbé, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique,750000,2,2,65,11538
Edificio Amsterdam,"Av. Salvador Allende Gossens 2250, Iquique, Gómez Carreño, Iquique, Tarapacá",iquique,750000,2,2,65,11538
Se Arrienda Depto Amoblado En Edif. Lynch,"Sotomayor 415, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique,620000,2,1,48,12917
Departamento En Campanario,"Playa Brava 2973, 1.1109e+06 - 1.1112e+06 Iquique, Tarapacá, Chile, Playa Brava, Iquique, Tarapacá",iquique,700000,3,2,73,9589
Condominio 4 Reinas,"Av. Salvador Allende Gossens, Iquique, Gómez Carreño, Iquique, Tarapacá",iquique,600000,3,2,65,9231
Arriendo Con Muebles Depto Torre Capital 2 Habitaciones,"Luis Uribe 100, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique,680000,2,2,82,8293
Arriendo Depto Amoblado 3d - Condominio Altos De Huayquique,"Av. La Tirana 4865, Iquique, Huayquique, Iquique, Tarapacá",iquique,950000,3,2,90,10556
Edificio Paradise,"Iquique, Playa Brava, Tarapacá",iquique,650000,1,1,32,20312
Condominio Portal Del Pacífico,"Av. Ramon Perez Opazo, Iquique, Cerro Dragón, Iquique, Tarapacá",iquique,1150000,3,2,101,11386
Vigias Del Mar 1,"Avenida Dos Oriente 4833, Iquique, Iquique, Tarapacá",iquique,590000,3,1,56,10536
Edificio Altus,"Obispo Labbé, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique,800000,3,2,70,11429
Condominio Tadeo Haenke,"Iquique, Gómez Carreño, Tarapacá",iquique,570000,1,1,45,12667
Duplex Edificio Urbano Centro,"Anibal Pinto 787, Centro De Iquique, Iquique, Tarapacá",iquique,580000,1,1,40,14500
Departamento En Arriendo De 1 Dorm. En Iquique,"Edificio Costa Azul I, Cavancha, Iquique, Tarapacá",iquique,430000,1,1,35,12286
Edificio Reconquista,"Bernardo O'Higgins 195, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique,570000,1,1,37,15405
Departamento Amoblado Edificio Huantajaya,"Pje. Cam. A La Playa 2040, Iquique, Huayquique, Iquique, Tarapacá",iquique,1000000,3,2,94,10638
