nombre,precio,dormitorios,baños,metros,direccion,ciudad
"Arriendo Departamento Amoblado, Año Corrido, Cond T. Haenke",$780.000,3 dormitorios,2 baños,70 m² útiles,"Avenida Tadeo Haenke  2221, Playa Brava, Iquique, Tarapacá",iquique
Departamento En Arriendo En Iquique,$550.000,1 dormitorio,1 baño,43 m² útiles,"Edificio Playa Huantajaya, Huayquique, Iquique, Tarapacá",iquique
Se Arrienda Depto Nuevo - 1 D En Edificio Life,$530.000,1 dormitorio,1 baño,37 m² útiles,"Obispo Labbé 930, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique
Departamento En Arriendo De 3 Dorm. En Iquique,$1.100.000,3 dormitorios,3 baños,105 m² útiles,"Cond.Carrara Torre A, Huayquique, Iquique, Tarapacá",iquique
Arriendo Departamento Amoblado  Ed. Velamar,$580.000,1 dormitorio,1 baño,48 m² útiles,"Manuel Jesús Silva 2250, Iquique, Playa Brava, Iquique, Tarapacá",iquique
1 Dormitorio Amoblado Sector Playa Brava,$530.000,1 dormitorio,1 baño,40 m² útiles,"Pasaje Zapallar 2957, Playa Brava, Iquique, Tarapacá",iquique
Se Arrienda Departamento En Edificio Horizonte,$450.000,3 dormitorios,1 baño,66 m² útiles,"Av. 4 Sur 2640, Iquique, Cerro Dragón, Iquique, Tarapacá",iquique
Vista Al Mar 2 Habitaciones Central,$730.000,2 dormitorios,2 baños,60 m² útiles,"Anibal Pinto 1303, Centro De Iquique, Iquique, Tarapacá",iquique
Arriendo Depto Amoblado 3d - Edificio Diego Portales,$700.000,3 dormitorios,2 baños,70 m² útiles,"Av. Diego Portales 2040, Gómez Carreño, Iquique, Tarapacá",iquique
"Departamento Paradise Amoblado, Estilo Mariposa Iquique.",$1.100.000,2 dormitorios,2 baños,60 m² útiles,"Av. Santiago Polanco 1800 - 2100, Iquique, Playa Brava, Iquique, Tarapacá",iquique
Se Arrienda Depto En Edif. Costa Azul.,$450.000,1 dormitorio,1 baño,47 m² útiles,"Arturo Fernández 2098, Iquique, Cavancha, Iquique, Tarapacá",iquique
"Arriendo Dpto 1 Dormitorio, Centro De Iquique $ 425.000",$425.000,1 dormitorio,1 baño,34 m² útiles,"Sotomayor, Iquique, Hospital Regional, Iquique, Tarapacá",iquique
Se Arrienda Depto En Edif. Cavancha Club.,$470.000,1 dormitorio,1 baño,47 m² útiles,"Juan Martínez, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique
1 Dormitorio Brisas Del Sur,$570.000,1 dormitorio,1 baño,45 m² útiles,"Brisas Del Sur 2 SN, Cerro Dragón, Iquique, Tarapacá",iquique
Arrienda$425.000 Depto 2dormitorios No Incluye Gasto Común,$425.000,2 dormitorios,2 baños,55 m² útiles,"Av. Francisco Bilbao 3900 - 4200, Iquique, Iquique, Tarapacá",iquique
Arriendo Departamento Amoblado Con Increíble Vista En Sector,$850.000,2 dormitorios,2 baños,95 m² útiles,"Pje. Cam. A La Playa 1800 - 2100, Iquique, Huayquique, Iquique, Tarapacá",iquique
Condominio Portal Del Pacífico,$1.300.000,4 dormitorios,4 baños,120 m² útiles,"Av. Ramon Perez Opazo, Iquique, Cerro Dragón, Iquique, Tarapacá",iquique
Arriendo Cómodo Departamento En Edificio Diego Portales,$560.000,3 dormitorios,2 baños,75 m² útiles,"Av. Diego Portales 1800 - 2100, Iquique, Gómez Carreño, Iquique, Tarapacá",iquique
Se Arrienda Depto En Cond. Altos De Huayquique.,$580.000,2 dormitorios,2 baños,58 m² útiles,"Av. La Tirana 4865, Iquique, Huayquique, Iquique, Tarapacá",iquique
Condominio Oceánica,$1.150.000,3 dormitorios,2 baños,89 m² útiles,"Padre Hurtado 2363, Iquique, Cerro Dragón, Iquique, Tarapacá",iquique
Arriendo Departamento En Sector Sur Excelente Ubicación,$700.000,3 dormitorios,2 baños,80 m² útiles,"Av. Francisco Bilbao 3421, Iquique, Huayquique, Iquique, Tarapacá",iquique
